fold;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
1;0.025;2.0;0.6354568854568855;0.6700434153400868;0.10569906234741211;0.09505128860473633;NA
2;0.025;2;0.6406048906048907;0.6237337192474675;0.10175609588623047;0.0914616584777832;[(-1,), (1,)]
3;0.025;2.0;0.6435006435006435;0.597684515195369;0.09844279289245605;0.08842730522155762;NA
4;0.025;2.0;0.6377091377091377;0.6497829232995659;0.09760355949401855;0.08723044395446777;NA
5;0.025;2.0;0.638996138996139;0.638205499276411;0.097503662109375;0.08702325820922852;NA
6;0.025;2.0;0.6394787644787645;0.6338639652677279;0.09714317321777344;0.08687734603881836;NA
7;0.025;2.0;0.6352960102960103;0.6714905933429812;0.1060481071472168;0.09461426734924316;NA
8;0.025;2.0;0.6366414669454721;0.6594202898550725;0.0971381664276123;0.08654570579528809;NA
9;0.025;2.0;0.6388933569245617;0.6391304347826087;0.0961155891418457;0.08562040328979492;NA
10;0.025;2.0;0.6425928904616375;0.6057971014492753;0.09919285774230957;0.08885812759399414;NA
1;0.01;3;0.6518661518661519;0.6845151953690304;0.9292056560516357;0.19025611877441406;[(1,), (-3, -1), (-1, 3)]
2;0.01;3;0.6558880308880309;0.6483357452966715;0.6081850528717041;0.19151568412780762;[(1,), (-3, -1), (-1, 3)]
3;0.01;3;0.6574967824967825;0.6338639652677279;0.8211469650268555;0.19297385215759277;[(1,), (-3, -1), (-1, 3)]
4;0.01;3;0.6536357786357787;0.6685962373371924;0.8218181133270264;0.20569896697998047;[(1,), (-3, -1), (-1, 3)]
5;0.01;3;0.6550836550836551;0.6555716353111433;0.8767390251159668;0.23233413696289062;[(1,), (-3, -1), (-1, 3)]
6;0.01;3;0.6568532818532818;0.6396526772793053;0.9881730079650879;0.21206235885620117;[(1,), (-3, -1), (-1, 3)]
7;0.01;3;0.6518661518661519;0.6685962373371924;1.1566741466522217;0.2067549228668213;[(1,), (-10, -1), (-1, 10)]
8;0.01;3;0.6552999839150716;0.6536231884057971;0.8184144496917725;0.18866658210754395;[(1,), (-3, -1), (-1, 3)]
9;0.01;3;0.6548174360624095;0.6579710144927536;1.0031406879425049;0.2256176471710205;[(1,), (-3, -1), (-1, 3)]
10;0.01;3;0.6588386681679267;0.6217391304347826;0.5254619121551514;0.22831344604492188;[(1,), (-3, -1), (-1, 3)]
1;0.005;5;0.6668275418275419;0.6888567293777135;9.807081937789917;0.8212265968322754;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
fold;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
1;0.025;2.0;0.6354568854568855;0.6700434153400868;0.09852433204650879;0.08820390701293945;NA
2;0.025;2;0.6406048906048907;0.6237337192474675;0.09961962699890137;0.08913803100585938;[(-1,), (1,)]
3;0.025;2.0;0.6435006435006435;0.597684515195369;0.09915900230407715;0.08892941474914551;NA
4;0.025;2.0;0.6377091377091377;0.6497829232995659;0.09988284111022949;0.08932065963745117;NA
5;0.025;2.0;0.638996138996139;0.638205499276411;0.09957766532897949;0.08736681938171387;NA
6;0.025;2.0;0.6394787644787645;0.6338639652677279;0.10184073448181152;0.09128475189208984;NA
7;0.025;2.0;0.6352960102960103;0.6714905933429812;0.10109353065490723;0.08963942527770996;NA
8;0.025;2.0;0.6366414669454721;0.6594202898550725;0.09559202194213867;0.08524823188781738;NA
9;0.025;2.0;0.6388933569245617;0.6391304347826087;0.09533071517944336;0.08573579788208008;NA
10;0.025;2.0;0.6425928904616375;0.6057971014492753;0.09506845474243164;0.08538317680358887;NA
1;0.01;3;0.6518661518661519;0.6845151953690304;0.895092248916626;0.18652892112731934;[(1,), (-3, -1), (-1, 3)]
2;0.01;3;0.6558880308880309;0.6483357452966715;0.6028141975402832;0.18984055519104004;[(1,), (-3, -1), (-1, 3)]
3;0.01;3;0.6574967824967825;0.6338639652677279;0.7780752182006836;0.1841297149658203;[(1,), (-3, -1), (-1, 3)]
4;0.01;3;0.6536357786357787;0.6685962373371924;0.7973339557647705;0.18758797645568848;[(1,), (-3, -1), (-1, 3)]
5;0.01;3;0.6550836550836551;0.6555716353111433;0.8360261917114258;0.21760320663452148;[(1,), (-3, -1), (-1, 3)]
6;0.01;3;0.6568532818532818;0.6396526772793053;1.0105624198913574;0.20315074920654297;[(1,), (-3, -1), (-1, 3)]
7;0.01;3;0.6518661518661519;0.6685962373371924;1.1791050434112549;0.2239389419555664;[(1,), (-10, -1), (-1, 10)]
8;0.01;3;0.6552999839150716;0.6536231884057971;0.8988864421844482;0.22737431526184082;[(1,), (-3, -1), (-1, 3)]
9;0.01;3;0.6548174360624095;0.6579710144927536;0.8919751644134521;0.20356225967407227;[(1,), (-3, -1), (-1, 3)]
10;0.01;3;0.6588386681679267;0.6217391304347826;0.46657752990722656;0.20168232917785645;[(1,), (-3, -1), (-1, 3)]
